name,target,source,way_of_connection,connection,way_of_mapping,mapping_strategy,"detail_mapping: Color, Style,Size,Structure,Graphics, Light and Shadow, Function, Interaction/ movement,Texture,Material,Temperatur Sound,Taste,Smell",,,,,,,,
Pop-Up Book Vase,vase,book,behavioral,opening a book functions like a vase ,vision,The unfolded paper resembles the cylindrical structure of the vase,structure & form & color & metarial,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
